time,open,high,low,close,21 SMMA,50 SMMA,100 SMMA,200 SMMA,EMA(2),Buy,Sell,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,SuperTrend,Supertrend HTF,Supertrend HTF Trend Up,Supertrend HTF Trend Down,Volume,Volume MA,3 Line Strike Up,ATR
941410800,2.89,2.93,2.145,2.31,2.304204958327365,2.148956029953826,2.0461775751200033,NaN,2.5005836120221696,0,0,2.44,2.7350000000000003,2.57,2.95275,2.93,2.914141454786193,2.6219672474075972,NaN,NaN,723138,758162.75,0,0.5513858581943436
944002800,2.285,2.72,2.2,2.33,2.3054332936451094,2.1525769093547495,2.0490157993688034,NaN,2.3868612040073898,0,0,2.605,2.615,2.15,2.9829999999999997,2.93,2.914141454786193,2.673140800124021,NaN,2.673140800124021,649606,752777.85,0,0.549144011180462
946854000,2.28,2.675,2.12,2.665,2.322555517757247,2.1628253711676546,2.0551756413751154,NaN,2.5722870680024634,0,0,2.6799999999999997,2.44,2.355,3.0125,2.93,2.914141454786193,2.673140800124021,NaN,NaN,696675,756600,0,0.5495622960961433
949359600,2.69,2.78,2.465,2.765,2.3436243026259493,2.1748688637443014,2.0622738849613644,NaN,2.7007623560008214,0,0,2.6799999999999997,2.44,3.245,3.0425000000000004,2.93,2.914141454786193,2.673140800124021,NaN,NaN,733743,756395.95,0,0.5328078463749902
951865200,2.745,2.99,2.67,2.945,2.372261240596142,2.190271486469415,2.071101146111751,NaN,2.8635874520002735,0,0,2.6799999999999997,2.44,3.765,3.0425000000000004,2.93,2.914141454786193,2.449903452635227,2.449903452635227,NaN,670401,758246.5,0,0.5176072859196338
954712800,2.94,3.175,2.81,3.141,2.408867848186802,2.209286056740027,2.081800134650633,NaN,3.048529150666758,0,0,2.69,2.44,3.217,3.0425000000000004,2.93,1.8868531295604756,2.7095863989716262,NaN,NaN,540586,755250.8,0,0.5067067654968028
957132000,3.175,4.56,3.01,4.365,2.502016998273145,2.2524003356052265,2.104632133304127,NaN,3.9261763835555863,0,0,3.34,3.09,3.245,3.0425000000000004,2.93,2.3221012734782156,2.9393546537802555,NaN,NaN,843107,756200.35,0,0.5812277108184597
959810400,4.365,4.73,3.8,4.44,2.5943019031172807,2.296152328893122,2.1279858119710857,NaN,4.268725461185196,0,0,3.4250000000000003,3.1750000000000003,2.954,3.0425000000000004,2.93,2.4314682441945172,3.873982528454005,NaN,NaN,863727,764399.3,0,0.6061400171885697
962575200,4.27,4.36,3.61,3.775,2.6505256220164575,2.3257292823152595,2.144455953851375,NaN,3.9395751537283985,0,1,3.4250000000000003,3.1750000000000003,3.296,3.0287500000000005,2.93,2.4314682441945172,3.873982528454005,NaN,NaN,606467,758876.3,0,0.6221300159608149
965080800,3.775,4.87,3.775,4.78,2.751929163825198,2.3748146966689543,2.170811394312861,NaN,4.499858384576133,0,0,3.495,3.245,4.14,2.9487500000000004,2.93,2.6553363113617636,4.208178628159868,NaN,4.208178628159868,713616,754676.35,0,0.6559064433921853
967759200,4.75,5.57,4.75,5.2,2.8685039655478075,2.431318402735575,2.2011032803697326,NaN,4.966619461525378,0,0,3.845,3.595,4.156,2.6725000000000003,2.93,2.991984771284804,4.381141030285596,4.381141030285596,NaN,726521,757806.1,0,0.667627411721315
